ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,CityState,,,,
00501,35620,HOLTSVILLE,NY,"HOLTSVILLE, NY",,,,
00601,99999,ADJUNTAS,PR,"ADJUNTAS, PR",,,,
00602,10380,AGUADA,PR,"AGUADA, PR",,,,
00603,10380,AGUADILLA,PR,"AGUADILLA, PR",,,,
00604,10380,AGUADILLA,PR,"AGUADILLA, PR",,,,
00605,10380,AGUADILLA,PR,"AGUADILLA, PR",,,,
00606,99999,MARICAO,PR,"MARICAO, PR",,,,
00610,10380,ANASCO,PR,"ANASCO, PR",,,,
00611,46580,ANGELES,PR,"ANGELES, PR",,,,
00612,11640,ARECIBO,PR,"ARECIBO, PR",,,,
00612,41980,ARECIBO,PR,"ARECIBO, PR",,,,
00612,46580,ARECIBO,PR,"ARECIBO, PR",,,,
00613,11640,ARECIBO,PR,"ARECIBO, PR",,,,
00614,11640,ARECIBO,PR,"ARECIBO, PR",,,,
00616,11640,BAJADERO,PR,"BAJADERO, PR",,,,
00617,41980,BARCELONETA,PR,"BARCELONETA, PR",,,,
00622,32420,BOQUERON,PR,"BOQUERON, PR",,,,
00623,32420,CABO ROJO,PR,"CABO ROJO, PR",,,,
00624,38660,PENUELAS,PR,"PENUELAS, PR",,,,
00627,11640,CAMUY,PR,"CAMUY, PR",,,,
00627,29720,CAMUY,PR,"CAMUY, PR",,,,
00631,29720,CASTANER,PR,"CASTANER, PR",,,,
00637,32420,SABANA GRANDE,PR,"SABANA GRANDE, PR",,,,
00638,41980,CIALES,PR,"CIALES, PR",,,,
00641,46580,UTUADO,PR,"UTUADO, PR",,,,
00641,38660,UTUADO,PR,"UTUADO, PR",,,,
00646,41980,DORADO,PR,"DORADO, PR",,,,
00647,32420,ENSENADA,PR,"ENSENADA, PR",,,,
00647,99999,ENSENADA,PR,"ENSENADA, PR",,,,
00650,41980,FLORIDA,PR,"FLORIDA, PR",,,,
00650,11640,FLORIDA,PR,"FLORIDA, PR",,,,
00652,11640,GARROCHALES,PR,"GARROCHALES, PR",,,,
00653,38660,GUANICA,PR,"GUANICA, PR",,,,
00653,99999,GUANICA,PR,"GUANICA, PR",,,,
00656,38660,GUAYANILLA,PR,"GUAYANILLA, PR",,,,
00659,11640,HATILLO,PR,"HATILLO, PR",,,,
00660,32420,HORMIGUEROS,PR,"HORMIGUEROS, PR",,,,
00662,10380,ISABELA,PR,"ISABELA, PR",,,,
00662,11640,ISABELA,PR,"ISABELA, PR",,,,
00664,99999,JAYUYA,PR,"JAYUYA, PR",,,,
00664,46580,JAYUYA,PR,"JAYUYA, PR",,,,
00667,32420,LAJAS,PR,"LAJAS, PR",,,,
00669,29720,LARES,PR,"LARES, PR",,,,
00670,99999,LAS MARIAS,PR,"LAS MARIAS, PR",,,,
00674,41980,MANATI,PR,"MANATI, PR",,,,
00676,10380,MOCA,PR,"MOCA, PR",,,,
00677,10380,RINCON,PR,"RINCON, PR",,,,
00678,11640,QUEBRADILLAS,PR,"QUEBRADILLAS, PR",,,,
00680,32420,MAYAGUEZ,PR,"MAYAGUEZ, PR",,,,
00680,10380,MAYAGUEZ,PR,"MAYAGUEZ, PR",,,,
00681,32420,MAYAGUEZ,PR,"MAYAGUEZ, PR",,,,
00682,32420,MAYAGUEZ,PR,"MAYAGUEZ, PR",,,,
00683,32420,SAN GERMAN,PR,"SAN GERMAN, PR",,,,
00685,10380,SAN SEBASTIAN,PR,"SAN SEBASTIAN, PR",,,,
00687,41980,MOROVIS,PR,"MOROVIS, PR",,,,
00688,11640,SABANA HOYOS,PR,"SABANA HOYOS, PR",,,,
00690,10380,SAN ANTONIO,PR,"SAN ANTONIO, PR",,,,
00692,41980,VEGA ALTA,PR,"VEGA ALTA, PR",,,,
00693,41980,VEGA BAJA,PR,"VEGA BAJA, PR",,,,
00694,41980,VEGA BAJA,PR,"VEGA BAJA, PR",,,,
00698,38660,YAUCO,PR,"YAUCO, PR",,,,
00698,32420,YAUCO,PR,"YAUCO, PR",,,,
00703,41980,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,,,
00704,17640,AGUIRRE,PR,"AGUIRRE, PR",,,,
00705,41980,AIBONITO,PR,"AIBONITO, PR",,,,
00707,41980,MAUNABO,PR,"MAUNABO, PR",,,,
00714,25020,ARROYO,PR,"ARROYO, PR",,,,
00715,38660,MERCEDITA,PR,"MERCEDITA, PR",,,,
00716,38660,PONCE,PR,"PONCE, PR",,,,
00717,38660,PONCE,PR,"PONCE, PR",,,,
