,Name,Star Rating,State,Date,Players,Matches
0,Paddle Palace Club 2024 Pacific Rim Open,2,OR,09/07/2024 -09/08/2024,106,424
1,2024 Butterfly September Open & Giant RR @ Princeton Pong,3,NJ,09/06/2024 -09/08/2024,109,378
2,SILICON VALLEY TEAM CHALLENGE 2024,0,CA,08/31/2024 -09/02/2024,149,358
3,2024 ATTD African Table Tennis in Diaspora Tournament,3,TX,08/31/2024 -08/31/2024,116,488
4,2024 NEWARK BUTTERFLY WEST COAST TEAMS,2,CA,08/31/2024 -08/31/2024,44,165
5,2024 ICC JOOLA Fall OPEN,4,CA,08/24/2024 -08/25/2024,178,569
6,MDTTC August Open 2024,2,MD,08/24/2024 -08/25/2024,80,282
7,Westchester 2024 August Open,4,NY,08/24/2024 -08/25/2024,218,860
8,2024 TT&M's Butterfly August Open,2,AZ,08/23/2024 -08/25/2024,56,272
9,2024 GPPCTX SpinMaster TT August Tournament,2,TX,08/24/2024 -08/24/2024,87,314
10,San Antonio Summer Smash Open,2,TX,08/24/2024 -08/24/2024,33,94
11,2024 Naples Pong Butterfly August Open,2,FL,08/24/2024 -08/24/2024,45,160
12,LATTA Butterfly August Open,2,CA,08/24/2024 -08/24/2024,86,244
13,Butterfly Spin & Smash August Open 2024,2,OH,08/23/2024 -08/24/2024,41,177
14,PINGPOD Tournament August 2024,0,NJ,08/17/2024 -08/22/2024,99,250
15,"New Jersey Table Tennis Club August 18, 2024 Open",2,NJ,08/18/2024 -08/18/2024,13,31
16,2024 USATT Georgia State Championships,4,GA,08/17/2024 -08/18/2024,102,450
17,RCTTC 2024 Jim Wang Memorial Grand RR,1,TX,08/17/2024 -08/17/2024,27,114
18,LYTTC August Open 2024,0,NJ,08/10/2024 -08/11/2024,86,358
19,2024 USATT North Carolina State Championships,4,NC,08/09/2024 -08/11/2024,90,361
20,2024 STL TT Championships,3,TX,08/09/2024 -08/11/2024,118,515
21,2nd Annual Richard Hicks Memorial Open,2,IN,08/09/2024 -08/11/2024,60,261
22,2024 WDCTT August Giant Round Robin,2,DC,08/10/2024 -08/10/2024,26,116
23,Orlando’s Annual Summer Open 2024,2,fl,08/10/2024 -08/10/2024,52,191
24,2024 OXFORD ALABAMA OPEN,2,AL,08/10/2024 -08/10/2024,48,164
25,2024 JOOLA LA Open Table Tennis Tournament,4,CA,08/03/2024 -08/04/2024,309,870
26,2024 Butterfly Teams Round Robin Tournament,4,NC,08/03/2024 -08/04/2024,60,379
27,2024 Butterfly August Open & Giant RR @ Princeton Pong,3,NJ,08/02/2024 -08/04/2024,135,489
28,NYISC August 2024 Open,0,NY,08/03/2024 -08/03/2024,26,78
29,2024 HCTTC Circuit August,0,MD,08/03/2024 -08/03/2024,43,126
30,2024 Arizona State Championship,2,AZ,07/27/2024 -07/28/2024,58,236
31,Westchester 2024 July Open,4,NY,07/27/2024 -07/28/2024,216,848
32,2024 Butterfly Triangle Junior Ranking Championships,3,NC,07/27/2024 -07/28/2024,41,209
33,SILICON VALLEY OPEN 2024 at 888TTC,4,CA,07/26/2024 -07/28/2024,212,947
34,3rd Annual Mac Horn Memorial,2,TX,07/27/2024 -07/27/2024,19,79
35,2024 Naples Pong Butterfly July Open,2,FL,07/27/2024 -07/27/2024,29,82
36,2024 Austin 5th Annual Kenneth Beauchamp Summer Open,3,TX,07/27/2024 -07/27/2024,75,266
37,Butterfly Spin & Smash July Open 2024,2,OH,07/26/2024 -07/27/2024,50,182
38,PINGPOD Tournament July 2024,0,NY,07/20/2024 -07/24/2024,83,248
39,"New Jersey Table Tennis Club July 21, 2024 Open",2,NJ,07/21/2024 -07/21/2024,18,50
40,2024 Butterfly Florida Open,4,FL,07/18/2024 -07/21/2024,206,1340
41,2024 USATT Louisiana State Championship,4,LA,07/20/2024 -07/20/2024,29,76
42,LATTA Butterfly July Open,2,CA,07/20/2024 -07/20/2024,85,220
43,Asheville Summer Open,0,NC,07/20/2024 -07/20/2024,45,191
44,Westford TTC July 2024 Open Tournament,0,MA,07/14/2024 -07/14/2024,33,106
45,MDTTC July Open 2024,2,MD,07/13/2024 -07/14/2024,82,275
46,2024 Georgia Games,2,GA,07/13/2024 -07/14/2024,102,276
47,NYISC July 2024 Open,0,NY,07/13/2024 -07/13/2024,28,97
48,2024 Butterfly July Open @ Princeton Pong,3,NJ,07/06/2024 -07/07/2024,105,355
49,2024 Aurora Summer Open,2,IL,07/06/2024 -07/07/2024,129,410
50,2024 US National Table Tennis Championships,5,AL,07/03/2024 -07/07/2024,587,4386
51,2024 HCTTC Circuit July,0,MD,07/06/2024 -07/06/2024,35,91
52,2024 Missouri Show-Me State Games Open,2,MO,07/06/2024 -07/06/2024,37,181
53,2024 Birmingham Hometown Table Tennis Summer Open,2,AL,06/29/2024 -06/30/2024,45,156
54,Westchester 2024 June Open,4,NY,06/29/2024 -06/30/2024,258,1027
55,2024 Butterfly SPTTC June Open,1,WA,06/29/2024 -06/30/2024,85,383
56,San Antonio Butterfly Summer Open,2,TX,06/29/2024 -06/29/2024,27,84
57,PINGPOD Tournament June 2024,0,NY,06/22/2024 -06/27/2024,111,298
58,Gold Coast TTC June 2024 Open,0,NY,06/23/2024 -06/23/2024,21,75
59,2024 TT&M's Butterfly Summer Open,2,AZ,06/21/2024 -06/23/2024,55,257
60,Phoenixville Table Tennis Club’s Cruzin’ Classic,0,PA,06/22/2024 -06/22/2024,33,111
61,2024 NEWARK BUTTERFLY JUNE OPEN,2,CA,06/22/2024 -06/22/2024,76,176
62,2024 DFWTT Summer Open,2,TX,06/22/2024 -06/22/2024,72,214
63, 305TTC - June 22nd 2024 Tournament,2,FL,06/22/2024 -06/22/2024,29,61
64,LATTA Butterfly June Open,2,CA,06/22/2024 -06/22/2024,86,239
65,Butterfly Spin & Smash June Open 2024,2,OH,06/21/2024 -06/22/2024,48,199
66,"New Jersey Table Tennis Club June 16, 2024 Open",2,NJ,06/16/2024 -06/16/2024,5,9
67,Bay Area Butterfly Championship (Milpitas),2,CA,06/16/2024 -06/16/2024,9,24
68,ASLT June 2024 Tournament,2,CA,06/15/2024 -06/16/2024,45,197
69,Paddle Palace Club 2024 June Open,2,OR,06/15/2024 -06/16/2024,70,294
70,2024 USATT Northeast Regional Championships,4,NY,06/15/2024 -06/16/2024,214,943
71,Florida Sunshine State Games 2024,2,FL,06/15/2024 -06/16/2024,41,249
72,2024 Butterfly Triangle Adult Ranking Championships,3,NC,06/14/2024 -06/16/2024,42,134
73,Colorado NorthSide TTC Summer Classic,0,CO,06/15/2024 -06/15/2024,60,166
74, Bay Area Butterfly Championship (Stanford),2,CA,06/15/2024 -06/15/2024,31,108
75,SITTA Summer Team Challenge,2,IN,06/15/2024 -06/15/2024,23,61
76,OCTTA BUTTERFLY OPEN JUNE,3,CA,06/09/2024 -06/09/2024,137,369
77,LYTTC June Open 2024,0,NJ,06/08/2024 -06/09/2024,88,312
78,Pensacola's 22nd Annual Summer Open Table Tennis Tournament,2,FL,06/08/2024 -06/08/2024,42,160
79,2024 Naples Pong Table Tennis Open,2,FL,06/08/2024 -06/08/2024,58,148
80,ARARAT OPEN 2024,2,CA,06/02/2024 -06/02/2024,79,225
81,2024 Paddle Palace Atlanta Summer Open,3,GA,06/01/2024 -06/02/2024,117,319
82,2024 Butterfly June Open @ Princeton Pong,3,NJ,06/01/2024 -06/02/2024,105,331
83,IndyPong June Open,2,IN,06/01/2024 -06/02/2024,54,215
84,2024 Meiklejohn North American Seniors Open,2,CA,05/30/2024 -06/02/2024,134,434
85,2024 HCTTC Circuit June,0,MD,06/01/2024 -06/01/2024,65,209
86,Myrtle Beach Table Tennis Tournament,0,SC,06/01/2024 -06/01/2024,18,74
87,NYISC June 2024 Open,0,NY,06/01/2024 -06/01/2024,39,103
